Species	Sample	compound	CMP	NumSynthGenes	NumSynthSpecies	NumSynthSpecGenes	NumDegGenes	NumDegSpecies	NumDegSpecGenes
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00062	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00031	-0.21953896816685	0	0	0	2	2	2
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00407	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00123	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00073	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00148	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00134	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00794	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00315	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00245	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00106	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00183	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00385	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	p6z2tr4	C00025	-0.21953896816685	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00062	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00031	-0.244200244200244	0	0	0	2	2	2
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00407	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00123	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00073	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00148	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00134	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00794	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00315	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00245	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00106	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00183	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00385	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr26	C00025	-0.244200244200244	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00062	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00031	-0.442477876106195	0	0	0	2	2	2
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00407	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00123	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00073	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00148	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00134	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00794	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00315	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00245	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00106	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00183	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00385	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr34	C00025	-0.442477876106195	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00062	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00031	-0.230680507497117	0	0	0	2	2	2
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00407	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00123	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00073	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00148	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00134	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00794	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00315	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00245	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00106	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00183	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00385	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j22tr27	C00025	-0.230680507497117	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00062	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00031	-0.201207243460765	0	0	0	2	2	2
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00407	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00123	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00073	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00148	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00134	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00794	-0.201207243460765	0	0	0	1	1	1
Anaerococcus_hydrogenalis_DSM_7454	j31tr60	C00315	-0.201207243460765	0	0	0	1	1	1
