noiseLevel	SimRun	TimePoint	compound	Species	totFlux	cumulFlux
8	1	577	26dap_M[env]	BcaccaeAGORA	0	0
8	1	577	3mop[env]	BcaccaeAGORA	0	0
8	1	577	4abut[env]	BcaccaeAGORA	0	0
8	1	577	ac[env]	BcaccaeAGORA	0.000139490754500361	0.0196603627230205
8	1	577	ala_L[env]	BcaccaeAGORA	-0.0000927504571298672	-0.0134582093862162
8	1	577	amylopect900[env]	BcaccaeAGORA	0	0
8	1	577	amylose300[env]	BcaccaeAGORA	0	0
8	1	577	arg_L[env]	BcaccaeAGORA	-0.00000572326037301815	-0.000803396330259228
8	1	577	asn_L[env]	BcaccaeAGORA	-0.0000573254566848243	-0.00781293476377804
8	1	577	asp_L[env]	BcaccaeAGORA	0	0
8	1	577	but[env]	BcaccaeAGORA	0	0
8	1	577	ca2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	cgly[env]	BcaccaeAGORA	0	0
8	1	577	cit[env]	BcaccaeAGORA	0	0
8	1	577	cl[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	co2[env]	BcaccaeAGORA	0.000360500648157107	0.050426668170524
8	1	577	cobalt2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	csn[env]	BcaccaeAGORA	0	0
8	1	577	cu2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	cys_L[env]	BcaccaeAGORA	0	0
8	1	577	etoh[env]	BcaccaeAGORA	0	0
8	1	577	fe2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	fe3[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	fol[env]	BcaccaeAGORA	0	0
8	1	577	for[env]	BcaccaeAGORA	0.000000930278479697116	0.000130586810313798
8	1	577	fru[env]	BcaccaeAGORA	-0.0000637319680616324	-0.00899717230180271
8	1	577	gal[env]	BcaccaeAGORA	-0.0000902012079030902	-0.012547193227439
8	1	577	glc_D[env]	BcaccaeAGORA	-0.0000626357931191637	-0.00884242304283158
8	1	577	gln_L[env]	BcaccaeAGORA	0	0
8	1	577	glu_L[env]	BcaccaeAGORA	0	0
8	1	577	gly[env]	BcaccaeAGORA	0	0
8	1	577	glyc[env]	BcaccaeAGORA	0	0
8	1	577	gua[env]	BcaccaeAGORA	0	0
8	1	577	h2[env]	BcaccaeAGORA	0	0
8	1	577	h2o[env]	BcaccaeAGORA	0.000230536318572751	0.0328794293124569
8	1	577	h2s[env]	BcaccaeAGORA	-0.00000207668563189112	-0.000291512443436775
8	1	577	h[env]	BcaccaeAGORA	0.000493709599293524	0.069328120318094
8	1	577	his_L[env]	BcaccaeAGORA	0	0
8	1	577	ile_L[env]	BcaccaeAGORA	0	0
8	1	577	indole[env]	BcaccaeAGORA	0	0
8	1	577	isobut[env]	BcaccaeAGORA	0	0
8	1	577	k[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	leu_L[env]	BcaccaeAGORA	-0.00000870907619671885	-0.00122252691654183
8	1	577	lys_L[env]	BcaccaeAGORA	-0.00000662224129260833	-0.000929589780268378
8	1	577	malttr[env]	BcaccaeAGORA	0	0
8	1	577	met_L[env]	BcaccaeAGORA	-0.00000312001572714323	-0.000437968748959099
8	1	577	mg2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	mn2[env]	BcaccaeAGORA	-0.000000155046413282853	-0.000021764468385633
8	1	577	mqn7[env]	BcaccaeAGORA	0	0
8	1	577	nac[env]	BcaccaeAGORA	-0.000000310092826565685	-0.0000435289367712658
8	1	577	nh4[env]	BcaccaeAGORA	0.000270134429278679	0.0373801151738511
8	1	577	ocdca[env]	BcaccaeAGORA	0	0
8	1	577	orn[env]	BcaccaeAGORA	0	0
8	1	577	pac[env]	BcaccaeAGORA	0	0
8	1	577	phe_L[env]	BcaccaeAGORA	0	0
8	1	577	pheme[env]	BcaccaeAGORA	0	0
8	1	577	pi[env]	BcaccaeAGORA	-0.000023035488671883	-0.00323358118599109
